Extracted:,United Nations High Commissioner for Refugees
Date extracted:,15/08/2023 17:44:13
Last updated:,15/08/2023 17:44:13

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
2023 data (if included) as of:, June 2023
Country of origin:,"AFG,IRQ,SYR"
Country of asylum:,"ALB,ARM,AZE,BLR,BIH,HRV,CYP,CZE,GEO,HUN,MLT,MKD,MDA,ROU,RUS,SRB,TUR,UKR"
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2018,SYR,"Syrian Arab Rep.",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",SWE,"Sweden",1
2018,IRQ,"Iraq",TUR,"Turkiye",USA,"United States of America",19
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",195
2018,AFG,"Afghanistan",UKR,"Ukraine",USA,"United States of America",16
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",EST,"Estonia",29
2018,IRQ,"Iraq",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",67
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FRA,"France",2072
2018,AFG,"Afghanistan",RUS,"Russian Federation",USA,"United States of America",4
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",BGR,"Bulgaria",21
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ITA,"Italy",50
2018,SYR,"Syrian Arab Rep.",TUR,"Turkiye",AUS,"Australia",31
2018,AFG,"Afghanistan",TUR,"Turkiye",CAN,"Canada",28
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ITA,"Italy",14
2019,AFG,"Afghanistan",TUR,"Turkiye",CAN,"Canada",89
2019,AFG,"Afghanistan",RUS,"Russian Federation",CAN,"Canada",5
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ESP,"Spain",319
2019,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",SWE,"Sweden",1
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FIN,"Finland",575
2019,IRQ,"Iraq",TUR,"Turkiye",DEU,"Germany",3
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NZL,"New Zealand",11
2019,AFG,"Afghanistan",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",FRA,"France",8
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",DEU,"Germany",2425
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",HRV,"Croatia",122
2019,IRQ,"Iraq",TUR,"Turkiye",ITA,"Italy",1
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NLD,"Netherlands",1151
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",USA,"United States of America",21
2019,AFG,"Afghanistan",TUR,"Turkiye",USA,"United States of America",1049
2019,IRQ,"Iraq",TUR,"Turkiye",CAN,"Canada",498
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",CAN,"Canada",585
2019,AFG,"Afghanistan",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",23
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",PRT,"Portugal",93
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",BEL,"Belgium",215
2019,IRQ,"Iraq",TUR,"Turkiye",AUS,"Australia",44
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",SWE,"Sweden",867
2019,IRQ,"Iraq",TUR,"Turkiye",USA,"United States of America",38
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",479
2019,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",FIN,"Finland",3
2019,AFG,"Afghanistan",TUR,"Turkiye",SWE,"Sweden",34
2019,IRQ,"Iraq",TUR,"Turkiye",PRT,"Portugal",93
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",EST,"Estonia",7
2019,IRQ,"Iraq",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",55
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ROU,"Romania",31
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FRA,"France",1295
2019,AFG,"Afghanistan",RUS,"Russian Federation",USA,"United States of America",12
2019,SYR,"Syrian Arab Rep.",TUR,"Turkiye",BGR,"Bulgaria",64
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ROU,"Romania",37
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FRA,"France",284
2020,AFG,"Afghanistan",TUR,"Turkiye",CAN,"Canada",7
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ESP,"Spain",7
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FIN,"Finland",278
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",DEU,"Germany",1180
2020,IRQ,"Iraq",TUR,"Turkiye",CAN,"Canada",115
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NLD,"Netherlands",127
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",USA,"United States of America",11
2020,AFG,"Afghanistan",TUR,"Turkiye",USA,"United States of America",211
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",CAN,"Canada",618
2020,AFG,"Afghanistan",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",4
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",PRT,"Portugal",103
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",BEL,"Belgium",43
2020,IRQ,"Iraq",TUR,"Turkiye",AUS,"Australia",106
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",SWE,"Sweden",259
2020,IRQ,"Iraq",TUR,"Turkiye",USA,"United States of America",291
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",DNK,"Denmark",31
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",124
2020,IRQ,"Iraq",TUR,"Turkiye",PRT,"Portugal",89
2020,SYR,"Syrian Arab Rep.",TUR,"Turkiye",CHE,"Switzerland",24
2021,IRQ,"Iraq",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",8
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",CHE,"Switzerland",142
2021,SYR,"Syrian Arab Rep.",UKR,"Ukraine",USA,"United States of America",6
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FRA,"France",193
2021,AFG,"Afghanistan",TUR,"Turkiye",CAN,"Canada",130
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ESP,"Spain",147
2021,IRQ,"Iraq",TUR,"Turkiye",ESP,"Spain",1
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FIN,"Finland",280
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",DEU,"Germany",2185
2021,AFG,"Afghanistan",TUR,"Turkiye",CHE,"Switzerland",78
2021,IRQ,"Iraq",TUR,"Turkiye",NLD,"Netherlands",1
2021,IRQ,"Iraq",TUR,"Turkiye",CAN,"Canada",72
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NLD,"Netherlands",366
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",USA,"United States of America",146
2021,AFG,"Afghanistan",TUR,"Turkiye",USA,"United States of America",700
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",CAN,"Canada",989
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",PRT,"Portugal",132
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",BEL,"Belgium",451
2021,AFG,"Afghanistan",TUR,"Turkiye",ESP,"Spain",4
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",SWE,"Sweden",488
2021,IRQ,"Iraq",TUR,"Turkiye",USA,"United States of America",349
2021,SYR,"Syrian Arab Rep.",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",89
2021,IRQ,"Iraq",TUR,"Turkiye",PRT,"Portugal",51
2021,IRQ,"Iraq",TUR,"Turkiye",CHE,"Switzerland",39
2022,AFG,"Afghanistan",RUS,"Russian Federation",USA,"United States of America",7
2022,IRQ,"Iraq",TUR,"Turkiye",CHE,"Switzerland",5
2022,IRQ,"Iraq",TUR,"Turkiye",GBR,"United Kingdom of Great Britain and Northern Ireland",51
2022,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ROU,"Romania",40
2022,SYR,"Syrian Arab Rep.",TUR,"Turkiye",CHE,"Switzerland",17
2022,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FRA,"France",678
2022,AFG,"Afghanistan",TUR,"Turkiye",CAN,"Canada",778
2022,SYR,"Syrian Arab Rep.",TUR,"Turkiye",ESP,"Spain",10
2022,SYR,"Syrian Arab Rep.",TUR,"Turkiye",FIN,"Finland",230
